ID_REF;a;b;c;d;e;f;g;h;i
ILMN_1689129;7.23106;7.29053;7.22102;7.28554;7.02054;7.43117;7.24426;7.25788;7.22182
ILMN_1689131;7.11082;6.74923;6.99169;6.7675;6.82226;6.77902;6.93222;6.87687;7.13495
ILMN_1689136;6.79942;6.84873;6.98025;6.83322;6.90463;6.92388;6.83612;6.96113;6.85357
ILMN_1689142;7.96065;7.9649;7.29857;8.04432;7.43779;7.89808;8.15586;8.33895;7.94621
ILMN_1689146;7.03377;8.29984;8.96988;7.08202;8.99296;8.16948;6.99648;8.19174;7.77275
ILMN_1689153;7.02408;6.94047;6.85838;6.90738;6.9587;6.91345;6.97765;6.99224;6.94585
ILMN_1689154;6.85736;7.07768;7.0156;6.86277;7.03981;6.92908;7.01695;6.82211;6.87193
ILMN_1689156;7.39279;7.38424;7.47752;7.43128;7.59518;7.44687;7.3615;7.43218;7.72938
ILMN_1689160;6.82477;6.9359;6.86587;6.74799;6.90498;6.82506;6.75464;6.82951;6.90033
ILMN_1689162;7.57744;7.57214;7.93266;7.5431;7.73524;8.00725;7.57353;7.49795;8.00088
ILMN_1689172;7.35172;7.15427;7.32769;7.12116;7.11556;7.18921;7.25759;7.15697;7.32519
ILMN_1689176;7.10905;7.56359;9.19479;7.08297;8.13181;8.85569;6.89295;7.82657;8.77707
ILMN_1689177;6.981;7.53659;7.09397;7.06019;7.60833;6.99433;7.01683;7.23077;7.04631
ILMN_1689180;6.97161;6.92588;6.92083;6.99329;6.8522;7.059;6.96138;6.93909;7.03959
ILMN_1689188;6.90044;6.99604;7.04463;6.86985;7.10503;6.87733;6.97791;6.8819;7.06071
ILMN_1689189;8.75686;7.99392;7.45957;8.87745;7.45926;7.73295;8.97739;7.86755;7.67544
ILMN_1689190;6.65292;6.88002;6.92915;6.84691;7.063;6.81187;6.85996;7.22454;6.92853
ILMN_1689197;6.90276;6.87735;6.96175;6.90365;6.88691;6.78925;7.12631;6.86699;6.84783
ILMN_1689200;8.43586;7.95125;9.64868;8.15476;7.93697;9.74619;8.37795;8.28201;9.47199
ILMN_1689211;6.97682;6.9439;6.71989;6.84128;6.98433;6.93347;6.9208;6.87606;6.73191
ILMN_1689212;7.26338;7.19016;7.05679;7.34101;7.41507;7.39744;7.36991;7.44673;7.33775
ILMN_1689217;6.98208;6.74019;6.89236;6.74193;6.74035;6.96549;6.91324;6.90616;6.84374
ILMN_1689220;6.86648;6.79976;7.02574;6.88164;7.09406;7.11043;7.02747;7.07062;6.85429
ILMN_1689234;7.10226;6.93544;6.93287;7.19461;6.93036;6.89693;6.94868;7.16572;7.10181
ILMN_1689237;6.98215;7.45465;10.176;7.26403;7.66432;10.2911;7.08879;7.37752;10.6961
ILMN_1689241;7.00197;7.0302;7.00785;6.93401;7.0151;7.0335;7.0844;7.12488;7.07836
ILMN_1689244;6.82646;7.05852;6.84726;6.94569;7.00734;6.96644;6.92092;6.85156;7.00671
ILMN_1689246;7.03849;6.76802;7.04812;6.96156;6.87064;6.8346;6.99941;6.83386;6.88042
ILMN_1689251;8.25391;7.38351;7.48726;8.13528;7.53856;7.57306;8.04102;7.43406;7.28562
ILMN_1689257;8.32332;8.17505;8.06977;8.29491;8.22836;7.82525;8.26543;7.79968;7.75913
ILMN_1689264;7.04388;7.13137;7.11729;6.90231;7.04521;7.05581;6.99234;6.96747;7.11227
ILMN_1689274;8.47269;9.35633;7.70689;8.67573;8.07768;8.23855;8.69334;9.12616;8.36512
ILMN_1689288;7.05043;6.81257;7.29826;6.82185;6.85072;7.15061;7.08693;7.14177;7.03378
